amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"12,802",Please help to save Yvonne,U.S. Dollar,,of $17.3k goal,159,"Hello! My name is Yvonne Foong, I was diagnosed with Neurofibromatosis type
  2 when I was 16 years old with hearing and vision damaged. It causes
  tumours to grow anywhere in my brain, along with the spinal cords and
  peripheral nerves. So far I have had 20 different surgeries to safely
  remove the tumours whenever needed to preserve my life. In the end of 2017, I need to undergo surgery again to remove
  multiple large tumours called schwannoma from both my arms. They have
  made my fingers and hands increasingly numb. If they are not carefully
  removed, they can paralyze my arms. I cannot become incapacitated, my mother will be helpless if I lose
  the ability to take care of myself. Last year, I had brain surgery at
  the US NIH, the surgery was done well. However, I was not taken cared
  of well in the ward. My vision became damaged as a result, I have had
  to adapt by getting help from people to do my work and in order to
  stay productive, while my mother started having to prepare my daily
  living needs despite her advanced age.  So I must go for surgery with
  doctors who can do better to save my arms before it is too late. Some brief details about the surgery: Where: St Vincent Medical Center, Los Angeles. By Who: Dr. Gregory P Lekovic, Neurosurgeon. For Malaysian supporter, you may contribute to my local bank account: Name:  Foong Ming Niang Public Bank Berhad:  6887203135 or you may also watch the video below to understand my family
  background and why I must preserve my ability to live independently. http://www.worksofgratitude.com/iv.html Thank you Yvonne Foong",https://fundrazr.com/savemyarm
"6,032",Ride to Give - An Adaptive Bike for Rosalee,U.S. Dollar,,of $5.8k goal,151,"4 and 1/2 years ago, Jessica and Aaron Truelove were
  excitedly awaiting the birth of their first child.  Jessica's
  pregnancy had seemed typical, but Rosalee was born at 28 weeks
  weighing 1lb 15oz. The night she was born, Rosalee had a pulmonary hemorrhage causing
    her fight for life to become even more difficult. For a tiny baby like Rosalee, the chances of her surviving
    prematurity AND the pulmonary hemorrhage were slim. Rosalee ended up spending 73 days in the NICU. At her discharge cranial ultrasound
      on day 69, Jessica and Aaron were told that Rosalee had suffered
      from a brain injury called Periventricular
  Leukomalacia. Her doctors were not sure when this injury
  occurred, but it was sometime between birth and day
  69. Periventricular Leukomalacia (PVL) is characterized by the death
  of the white matter of the brain due to  lack of oxygen or blood flow
  to the periventricular area of the brain. Babies with PVL are at risk
  for motor disorders, delayed mental development, coordination
  problems, and vision and hearing impairments. PVL may be accompanied
  by a hemorrhage or bleeding in the periventricular-intraventricular
  area (the area around and inside the ventricles) and can lead to
  cerebral palsy. The disorder is diagnosed by ultrasound of the head,
  as was what the case with Rosalee. Since knowing about her injury early on, Rosalee's doctors were able
  to prescribe interventions which were key to giving Rosalee the best
  possible outcome. As soon as Rosalee was discharged from the NICU, she
  began in-home therapy sessions while she grew stronger and less at
  risk for common germs. During these early months, the hardest part
  with Rosalee's initial diagnosis of PVL was the waiting game. The
  Trueloves became consumed with what Rosalee was or wasn't doing on
  time, basically putting her under a developmental microscope. When Rosalee was around 6-8 months, it became apparent that she
    was becoming increasingly delayed in her fine and gross motor
    skills, but it was not until she was 18 months that the Trueloves
    received the official diagnosis of Spastic Diplegia Cerebral Palsy . Jessica and Aaron continue to work with Rosalee daily to help improve
  her mobility and build her strength. Rosalee receives multiple
  therapies weekly, and as far as her prognosis, her neurologist and
  developmental specialist feel like she will eventually be able to walk
  with assistance for a short distance, but will spend her life
  primarily in a wheelchair. In September, Rosalee will become a big
  sister and the Trueloves are working extra hard this summer to keep
  her on track. One of the things that Rosalee's therapists suggested to help
  strengthen her core and build independence is an adaptive bicycle,
  like the ones sold by www.freedomconcepts.com . Cycling
  would offer her greater independence, a creative way to increase her
  mobility, and most importantly a way to connect with her parents
  through outdoor exercise. The staff at Freedom Concepts have
    visited with Rosalee and found the perfect size bike for
  her use now and to grow with her for years to come. Unfortunately, the
  Trueloves' insurance will not cover the cost so Freedom Concepts
  suggested they reach out to Ride to Give. Ride to Give is excited to offer the Truloves support in
    purchasing an adaptive bicycle for Rosalee.  We have seen time and
    again how alternative therapies, like cycling, can make a
    significant impact on medically complex children like Rosalee.
    Please help us purchase Rosalee a Freedom Concepts Bicycle so she
    can enjoy a life of inclusion rather than one of exclusion. At this time, Rosalee does not have a Facebook Page of her own,
      so follow Ride to Give on Facebook for all updates. Contributions are solicited with the understanding that the
      donee organization (Ride to Give, 501c3 tax ID 46-2952297) has
      complete discretion and control over the use of all donated funds.
      Questions about how your donation is used can be answered by
      clicking here. Please visit Ride to
      Give on the web at www.ridetogive.com or on Facebook at www.facebook.com/ridetogive.",https://fund.ridetogive.com/71MjK2
"1,950",Helping local women with Breast Imaging Services!,U.S. Dollar,"Jul 30, 2018",of $5k goal,20,"Hi, my name is Jennifer Peludat and I am a Breast Cancer Navigator. 
  I have been in healthcare for over 28 years!  I am passionate about
  Women's Health! I believe the world as a whole is good and we all have
  the desire to help one another.  My goal is to be able to help local
  women in need of Breast Imaging Services that does not have the means
  to afford the expense. Please help me in this GREAT cause and donate! 
  100% of ALL donations will fund Breast Imaging at Twin Lakes
  Imaging and Port Orange Imaging. Pink Hugs! Jennifer",https://fundrazr.com/ThinkPinkFund
"33,310",Help Victor Beat MS with Stem Cell Transplantation,Canadian Dollar,"Jul 21, 2018",of $40k goal,168,"Hello, We are a group of Victor's family and friends and we are trying to
  help him raise funds to finance a trip overseas, to attend a medical
  centre that specializes in Stem Cell Treatments. The exact centre and
  the exact treatment are yet to be determined.This will depend on the
  amount of funds raised. There are many variables involved in this type
  of treatment, each with their own respective cost. An example would
  be, an Autologous  transplant (collecting a patient's own
  blood-forming stem cells), versus an Allogeneic transplant (collecting
  stem cells from a matching donor). Fortunately, it's a very hopeful
  time for people suffering from Multiple Sclerosis and other
  Auto-Immune diseases. There have been many success stories (some of
  which you can view on YouTube). This type of treatment is becoming
  mainstream in many countries around the world. Sadly for Victor,
  Canada is still in its developmental stage. Please take a moment and read a little bit about Victor's life and
  his battle with MS. If you can financially manage a small donation, it
  would be truly appreciated. A donation can be made right from this
  page. Victor will receive 95% of the funds, and this wonderful website
  will receive 5%. Whether you can donate or not, please be so kind as
  to pass this page along, via email or social media, to as many people
  as you can.  We thank you and are grateful for your support. Most of you visiting this fundraising page already know Victor, but
  for those of you who don't please let me introduce him. Victor is 59
  years old and has been fighting an uphill battle with Multiple
  Sclerosis for 26 years. It has been quite a battle but he has always
  fought with courage and grace.  Victor first felt the symptoms of MS
  shortly after completing his first and only triathlon.  Soon after
  that race, he was eager to begin training in hopes of improving upon
  his time in the next race. It was then that the symptoms hit him, and
  they had an immediate and devastating effect.  He went from running 17
  miles a day to not being able to run one block. In 1984, just after completing college, Victor found employment with
  the CIBC in the Savings Application Department as a Programmer. Two
  years later he transferred to Host Facilities as a Programmer.  His
  talents were recognized  and he was promoted to manage a group of 7
  programmers. His team was the infrastructure and the bank's
  applications ran on their software. Victor was prepared to leave the bank due to his MS in 1999 when the
  logistics of getting to work became difficult, but in the year 2000,
  (potential Y2K crisis) he stayed on to ensure all applications ran
  smoothly. Victor left his managerial position shortly after this
  period and is now supported, in part, by longterm disability benefits. In 2010, Victor, his wife Michelle and his brother Tony, all went to
  Egypt to have the CCSVI (Chronic Cerebrospinal Venous Insufficiency) -
  Liberation treatment.  As you can imagine it was a quite an expensive
  endeavor. The physical benefits Victor experienced were remarkable but
  some affects were short lived. At that point, in 2010, Victor hadn't
  been able to move his right leg for many years. Amazingly, just a few
  hours after doctors placed catheters and balloon inflation into his
  collapsed and blocked veins, Victor was able to raise that same leg
  into the air.  When he returned home we could all see improvement and
  thought he was on his way to recovery.  Even his horrific Trigeminal
  Neuralgia pain was greatly reduced. Trigeminal Neuralgia
    is considered to be one of the most painful afflictions known.
    It is characterized by episodes of excruciating stabbing or
    electrical shock-like pains which hit one side of the face. The
    episodes of pain usually last up to two minutes and may occur
    spontaneously or be triggered by light stimulation. Victor has
    endured this affliction daily for over a decade. The CCSVI results lasted for approximately one year.  We believe the
  vein in his neck collapsed and became blocked once more. Due to the
  delicate nature of veins (as opposed to arteries), stents cannot be
  used. There is a risk of the stent becoming dislodged, migrating along
  the blood vessels and becoming lodged in the heart or lungs. Prior to the MS, Victor lived a very healthy lifestyle and continues
  to do so today. Beginning day one, Victor has not benefitted with any
  traditional medicine for his symptoms. In fact all prescribed options
  to manage pain only exacerbated his leg weakness. Research has since
  determined that as varied as MS symptoms may present so too are the
  outcomes with medication for Primary Progressive Multiple Sclerosis.
  To support his wellness, Victor employs various holistic forms. Some
  of the modalities include: Hyperbaric Oxygen treatments; Live Blood
  Cell Analysis; Reichian therapy; Homeopathy; Naturopathic Medicine; as
  well as following a strict diet and supplement regime. The financial
  impact has been staggering, but Victor attributes his longevity to
  these natural treatments. The driving force that gives Victor strength to endure this battle is
  his love for his family; his wife Michelle, daughter Simone, and son
  Kristian. He once stated to me that if he were able to go back in
  time, he would gladly suffer MS again if it meant he could spend his
  life with Michelle, and participate fully with their children while
  they strive to achieve their own personal and professional
  aspirations.  Victor is proud that both Simone and Kristian are
  excelling in university with a shared goal to positively impact
  healthcare for others. In the bottom left-hand corner of the above profile photo, there is a
  link to additional photos. Please feel free to have a glimpse at the
  amazing life Victor has lived, and is living. We, Victor's friends and family, thank you!",https://fundrazr.com/fundvictor
406,The Big Sunflower Project,Pound Sterling,,of £500 goal,45,"The Big Sunflower Project has given away sunflower seeds since 2011
  to raise awareness of the rare neuromuscular condtions known as
  centronuclear and myotubular myopathy. The project aims to get as many people as possible growing
  sunflowers each year with seeds now being sent to schools and
  nurseries, community groups, groups who work with disadvantaged
  people, hospices and youth groups to name a few, so as well as raising
  awareness of centronuclear and myotubular myopathy, the project
  supports the activities of these groups too. Further information about The Big Sunflower Project can be found below. About the project: https://thebigsunflowerproject.wordpress.com/ How it all began: https://thebigsunflowerproject.wordpress.com/how-it-all-began/ The Big Sunflower Project on Facebook: https://www.facebook.com/groups/406061643077357/ A review of The Big Sunflower Project 2017 http://centronuclear.org.uk/theinformationpoint/newsletters/2017/2017-02/the-big-sunflower-project.html During 2018 seeds and postage will continue to be free to
  participants but the project will be using FundRazer to allow those
  who would like to make a donation to do so - donations can be for as
  little as £1, so if you like what we do or have benefitted from the
  project in some way, please consider supporting our work. Any funds
  raised via FundRazer will be used to cover the admin costs of the
  project - stamps, envelopes, seed packets and sunflower seeds should
  it not be possible to get these donated.",https://fundrazr.com/a139J1
"1,669",Steve Roberts: Cancer Treatment Appeal,Pound Sterling,"Aug 7, 2018",of £7.5k goal,41,"My dear friend Steve Roberts has just been diagnosed with cancer in
  his prostate. I'm fundraising to help him and his wife Susanna afford
  the inpatient treatment he's been offered at the end of July at the
  Camphill Wellbeing Trust Medical Centre in Aberdeen and its follow-up
  maintenance programme. This intensive protocol is widely used in
  Europe and will double his chances of a good recovery by boosting his
  immune system as well as targeting the cancer cells. Donations of any
  size are vitally needed and will be much appreciated. Thank you! In most men, prostate cancer is slow growing and merely kept under
  observation but Steve's has an aggressive element that needs treatment
  to stop it spreading. The Gleason Score grades prostate cancers on a
  scale of 2-10 and his MRI and recent biopsy results reveal a Grade 7
  tumour. It is currently localised and Stage 2. As his beloved wife
  Susanna lost both her father and her mother to cancer they're
  determined to maximise Steve's chances by using conventional and complementary medicine this time. The intensive Mistletoe protocol at CWT Aberdeen is a holistic,
  plant-based, whole-person approach which, in our opinion and according
  to research and scientific evidence, strengthens the immune system and
  the life force while directly tackling the tumour. We believe it will
  give him the best chance of surviving this disease and retaining a
  good quality of life. When I met with Steve and Susanna last Summer at Emerson College,
  Forest Row (below) we were pleased to find each other looking so well. Steve had only just
  retired the previous December. His five-decade long working life was
  split equally between the written word (as a journalist, book &
  magazine publisher, editor and book seller) and curative education
  (first as a Carer and House Father in residential homes at Hohepa, New
  Zealand and Bristol, then as a teacher, Letter Press  tutor,
  Administrator and Trustee in special needs education). He and I met
  when we worked together in staff development for Ruskin Mill Trust at
  their Freeman College site in Sheffield, but he seems twice as busy in retirement. Steve is now on the verge of completing his first book - about
  Creativity and the Writer's Muse - with a second one planned (on
  William Golding and the double) while simultaneously organising an
  international conference on Nature Spirits, Elemental Beings and
    Human Cooperation scheduled for May 2019, and giving public
  talks and workshops on a variety of subjects. You will probably remember this fizzy
    combination of positivity, energy, enthusiasm and wide-ranging
    curiosity from your own dealings with him! Please help me to help this husband, brother, stepfather,
    larger-than-life Kiwi and inspiring friend to very many people
    around the world get on with the job of living his life to the full
    while trying to improve it for others. Every single penny donated will be spent
  on Steve's inpatient treatment in July, his ongoing home injection
  maintenance programme and his recovery. Your positive thoughts, prayers and messages of support are
      equally valuable. Steve's email is steveroberts1151@gmail.com . He is currently feeling fine and is his
  usual cheerful self. Thank you very much. With every good wish, Alan Miggin",https://fundrazr.com/SteveRobertsAppeal
395,Help make sick children smile! - FOCHA,Euro,,of €1k goal,8,"We, Ilse van den Berg and Lara Neumark, are two students that
      currently volunteer at “The Friends of Children`s Hospital
      Association” (FOCHA) in Cape Town (South Africa). FOCHA is a non-profit organisation registered with the
      Department of Social Development, which has been a support
      organisation to the Red Cross War Memorial Children’s
      Hospital(RXWMCH) in Rondebosch since 1978. The hospital has 290 beds for inpatients and 73 outpatient
      clinics. Most patients are from underprivileged communities and
      more than one third of the patients are under a year old. They are
      often the sickest of sick children who need highly complex
      interventions to recover. FOCHA is the lead organisation providing non-medical support
      to patients, parents and caregivers at the RXWMCH. Services such
      as: Family Support Programme, Services to patients, wards and
      clinics and Community Services. We are raising money to support the nonprofit organisation, so
      they can continue making sick children smile and supporting their
      families during this hard time. The money will be used to buy
      clothing for parents and children, toys, blankets, hygiene packs,
      birthday presents and food packages. At FOCHA, we believe that laughter and happiness enhance the
      healing process, giving the child a quicker recovery.",https://fundrazr.com/FOCHACapetown
962,Help get Kris back on her feet.,U.S. Dollar,,of $2k goal,15,"On May 15th, 2017 I was in an ATV accident resulting in a surgery to
  place a plate and screws into my leg. On July 1st a severe bone
  infection was discovered and treatment with IV antibiotics began. I
  was then transported from a hospital in Pagosa Springs, CO to San Juan
  Regional Medical Center in Farmington, NM. Since my initial operation
  on May 15th, she has had 9 operations and will have at least 3 more. The first was to clean the wound. The second was a follow-up surgery
  to ensure maximum cleanliness. After a couple of days, the doctor
  noticed a blister that forming on my wound so he preformed another
  operation. This time, to remove the plate and 8 screws that had gotten
  infected. The doctors later found that my bone had started getting
  infected where the hardware was initially placed so they performed
  another surgery to put an antibiotic rod in her bone meant to treat my
  inner bone infection. The last 9 months have been some of the most physically painful days
  I’ve ever had to face to date and I will need additional surgeries to
  get a bone graph and to remove this external fixator that I currently
  have on my right leg. I will have to wear this fixator for 8 more
  months to ensure my leg heals correctly. It has been painful both
  mentally and physically. This would've been my 8th year as a wildland firefighter, which is a
  major source of my primary income. I am and be unemployed until my
  recovery is complete. The monies being raised are to assist my family with gas, food, and
  lodging as they travel three hours each way to and from Dulce, NM to
  Albuquerque, NM for additional appointments as well as surgeries. They
  will also assist myself with bills as I am unable to work during my
  recovery period. I am a member of the Jicarilla Apache Nation and International
  Indigenous Youth Council. I defended the water for several weeks in
  Standing Rock, ND and recently completed a lengthy art project for
  Honor the Earth. Any support to help me as I recover this period is
  greatly appreciated. Please help me get back on my feet so I can help
  my brothers and sisters to protect this land and help our native
  communities. Thank you, Kris.",https://fundrazr.com/51L9Q5
380,Enchroma glasses for an aspiring mechanic,U.S. Dollar,"Jul 11, 2018",of $380 goal,6,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color accuracy. My name is Joe, I'm ex-military, I'm a student working towards
  being a motorcycle mechanic, and I have color-blindness.  Growing up I
  always had issues with certain colors, purple was a big one.  When I
  joined the Coast Guard they diagnosed me with color vision deficiency
  in my medical screening which severely limited my job selection. 
  While I was enlisted I found many scenarios where I simply could not
  perform a task due to being unable to detect a color; i found out
  ships have red and green colored running lights so you could tell
  their heading at a distance at night, I just thought they were white
  lights.  In my new chosen career field im facing new challenges that
  stem from this issue: in our modern age motorcycles are increasingly
  complex, with more and more wires as more things become controlled by
  onboard computers, all color coded and many with slim 'tracer' lines
  in a different color that are very difficult to see in low light or
  even with flashlights.  If a wiring diagram tells me im looking for a
  certain color wire and i cant pick it out of the mess of wires i cant
  do a repair, which is a very costly delay in a job where any wasted
  time comes right out of your pocket. With a pair of Enchroma glasses I could finally be on a more level
  playing field for a job I've dreamed of having for years, and finally
  have a chance at doing.  Below is some information on Enchroma
  glasses, and I hope that after reading this you'll find it in your
  heart to help me.  Thank you. Enchroma glasses are an optical assistive device; they are not a
  cure for color blindness. Results vary depending on the type and
  extent of color vision deficiency per individual. The glasses are
  estimated to be effective for 4 out of 5 cases (80%) of red-green
  color vision deficiency – prospective users are encouraged to take our
  online color vision test to assess the likelihood of
  efficacy. Enchroma does not endorse use of the glasses to pass
  occupational screening tests such as the Ishihara test. For more
  information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/41M1I0
"15,015",Please help us pay for David's ALS related costs,U.S. Dollar,,of $16k goal,65,"In 2017 David Richwine, husband and father, was diagnosed with ALS. 
  While his legs are strong enough to not need a wheelchair for some
  time, his voice is deteriorating rapidly and he soon won't be able to
  talk clearly enough to be understood.  We're raising $16,000 for him
  to afford a Tobii Dynavox eye tracking computer.  The total cost of
  the computer is $80,000 but insurance will cover all but $16,000,
  which is why we are asking for help. Please consider donating anything you can before David can no longer
  speak for himself.",https://fundrazr.com/81KTE2
"2,328",Telling the story of Haitians with disabilities.,Canadian Dollar,,of $5k goal,22,"I ask for your support to fund our 2nd trip to Haiti in
          November to continue this important research and documention. abilityhaiti is a collaborative international-Haitian
      project to understand and document disability in Haiti to help
      enhance the lives and reduce the suffering of the most vulnerable
      - persons with disabilities . Our two previous crowdfunding campaigns exceeded our goals
      through generous support and donations both on this site and
      off-line. The first helped get us started by funding travel,
      accommodation, security and expenses for our photographer, Scott
      Doubt, and I, this May . The 2nd is still paying for costs
      to produce and distribute content from that trip - stories, video
      interivews, photographic essays, articles, and for developing
      social media and web channels to grow awareness and encourage
      engagement. We also are so fortunate to have many professional
      volunteers who have contributed invaluable expertise to the project. Y ou can follow fresh stories and reports as
      they are produced on Facebook and Youtube . Our goal of $5,000.00 for this campaign is higher
      and more ambitious to address the additional expenses for
      including a volunteer videographer (along with a photographer) on
      our November trip. We hope that you  will also help by raising
      awareness and increasing support for abilityhaiti among your networks. It will
      take all your help to grow a larger supporter base as the project
      grows and produces more outcomes.  By investing your support from
      the beginning, you will be contributing to the sustainability of
      this continuous multi-media documentation. Life is hard in Haiti, even with incremental progress
  since the earthquake of 2010. Yet, Haitians are the most wonderful,
  resilient and proud people. Living with a disability in a developing country is
  often a brutal struggle. Yet, those I've met are among the bravest,
  most beautiful people I know. Thank you for your support.",https://fundrazr.com/619m45
930,Aidens Cystic Fibrosis Physio Vest,Pound Sterling,,of £10k goal,48,"Aiden aged three has suffered with cystic fibrosis since he was three weeks old and we want to help him as much as we can! We are keen to raise money to purchase a physio vest to loosen the mucas on his lungs and to reduce recurrent chest infections which will improve his quality life. The vest is £7,000 plus insurance which is a huge amount of money. It would be used as an additional method of physiotherapy but would increase his chances of a healthy long life. Cystic Fibrosis (cf) is a life shortening inherited disease, affecting almost 10,000 people in the UK.  It is caused by a faulty gene. The gene controls the movement of salt and water in and out of your cells, so the lungs and digestive system become clogged with mucas, making it hard to breathe and digest food. Although Aiden looks well most of the time, his insides are not. It is not always visible but that does not mean he is ok! There is no cure for CF  and only half of the population in the UK will live past 41. We want Aiden to be one of them! If you can help Aiden and his family please donate to one of the many events we will be organising or online. Any donations will be most appreciated and make a huge difference to a gorgeous boys life. Thank you in advance.",https://fundrazr.com/2UUPb
"2,776",Help Finley get on his feet,Pound Sterling,,of £5k goal,134,"Finley was born with cerebral palsy which is a life long condition
  which effects his muscles. Finley got cerebral palsy through lack of
  oxygen to his brain which has resulted in brain damage.  The simple
  things we take for granted Finley struggles with. Finley underwent an operation in Feb 2016 called selective dorsal
  rhizotomy. The surgeon cuts through the spine and cuts off some of the
  stems which are causing Finley's legs to be so stiff. This left him
  with loose legs which were so much easier to move but revealed the
  underlying muscle weakness. Finley is now 6 and able to walk with a
  walking frame although his main way of getting around is in his
  wheelchair or crawling around the house. Our ultimate goal is for
  Finley to be able to walk with sticks ! Finley gets 1 physio session a week on the NHS but he is required to
  do some sort of exercise everyday. He also has 1 swimming lesson a
  week. We have a private Physio who is £60 an hour who he sees once a
  week.  Finley is working so hard for her and as you can imagine it is
  to expensive for us to fund alone so we are kindly asking for people's
  help to get our little boy stronger All we want as parents is for Finley to live a healthy happy life and
  be able to keep up with his friends which ever way that may be. Thank you for everyone's support and donations it means so much to us
  ! Xxxx",https://fundrazr.com/4lE83
200,HELP KIMBERLY T. RAISE FUND FOR HER HUSBAND CANCER,U.S. Dollar,"Jul 26, 2018",of $8k goal,1,"Robert Trey, diagnosed with operable cystic carcinoma of the
    pancreas in 2018. March 2018, I’m 42, look well, feel well, fit, leading a healthy
    lifestyle and looking forward to what life has in store for me. Then
    the bombshell drops. Diagnosis – Cystic carcinoma of the Pancreas.
    Cystic what!? Panic sets in. I’m 42, this can’t be happening. CT Scans, ultrasounds, appointment after appointment, blood tests,
    trips to various hospitals, calls with my insurer, work, clients,
    candidates, family, friends. The whirlwind hadn’t just started, it
    was tearing through every emotion, relationship and responsibility
    in my life. And it wasn’t letting up. We see things relating to cancer all the time. Stand up to cancer,
    cancer research adverts, Macmillan charity collectors, friends and
    family raising money on Facebook. It’s everywhere. But it only
    really becomes relevant when it’s happening to you. It’s only then
    that you properly reflect, truly understand what it means and more
    importantly the impact it has on your life and all of those around you. The doctor called, I needed an operation. And what an ordeal it was. I was told by my surgeon that they were
    going to remove 2/3 of my pancreas, a procedure called a distal
    pancreatectomy, along with removing my spleen and 16 lymph nodes.
    Woah… Hold on, 2 weeks ago I went to the doctors complaining of
    slight bloating, now I’m having 2 of my organs removed? A cyst, measuring 15cm x 10cm x 10cm, had attached itself to my
    pancreas and the consultants were unsure whether it was benign or malignant.",https://fundrazr.com/b1MyRb
"1,220",Betty's Blessings: The Colors of Alzheimer's,U.S. Dollar,,of $1k goal,45,"Meet Betty. A vibrant, loving, funny woman
    from Omaha. Cried the entire trip to Southern California sixty years ago. Betty is a mother of four, Grandmother to seven,
    Great-Grandmother to three. Betty is also a sister to two brothers.
    Betty loves her family. To meet Betty is to love Betty. She will
    love you when you don’t deserve it. She will feed you when you are
    full. Betty loves you when nobody else does. Meet Bill , Betty’s brother. Bill was the
    youngest diagnosed case of Alzheimer’s in the US when diagnosed, at
    the age of 48 and succumbed to this disease. Meet Frank ,
    Betty’s other brother, after watching his brother succumb to
    Alzheimer’s, he too fell victim to it. Betty buried her two brothers from this disease. It wasn’t easy.
    The process was financially and emotionally painful. Betty doesn’t
    know she has Alzheimer’s. We don’t tell her. She can’t know. She
    knows its path and it’s destruction. Betty thinks she’s just getting
    forgetful. Betty will never hear that word come out of our mouth.
    She’s seen it enough. She deserves better. To know Betty is to hear her cackle laugh and to eat her amazing
    cookies. Betty hasn’t baked in years. Her cupboards are empty and
    the cookie sheets haven’t seen dough in years. Betty doesn’t
    remember the cookie jar is empty. Oh the cookie jar, the rite of
    passage when entering Betty’s home and the closest route to her
    heart. Betty doesn’t remember how to make cookies. So she colors. 
    With pencils. With abandon. With her heart. A creative outlet never
    known to her prior to Alzheimer’s. It soothes her. It’s the only
    thing that doesn’t frustrate her. It’s not a name or a place. It’s
    not a memory. So she colors. Betty loves her colored pictures and they grace the walls of
    many homes and she is proud of that. Her granddaughters started
    having her sign them and she finds it absolutely hilarious (and
    wonderful) that people want to hang her art in their homes. To
    support the Alzheimer’s Association we are making Betty’s framed
    colorings available for purchase. Each framed coloring is
      $20 (this includes everything, from the frame, to
    shipping). Let a piece of Betty smile upon you daily. We want Betty's Blessings to hang in your home and remind you to
    spend time with your loved ones. When you look at your piece, we
    want it to serve as a reminder to call your own grandmother or
    grandfather, to ask them stories about their childhood, to inquire
    about where they grew up, and to soak in all they have to teach you.
    We want you to call your mom or dad up and ask if all the family
    recipes are recorded, and if they aren't, we want you to start doing
    that. Our memory is a gift that not all are blessed to maintain, so
    while it's there, appreciate it. As our mother, our grandmother, our
    wife, Betty has blessed us for so many years with her love, her
    cooking, her ""happy birthday"" messages and her
    way-to-early-Christmas shopping. If Betty's Blessings can make even
    a small impact on families outside of our own, we know she will be
    happy, even in spite of this terrible disease. Plus, she's been
    begging us to ""get a job"" every day for a while now, and
    this will give her one! To order, please donate through this platform and there will be
    a place for you to enter your address for shipping purposes. If you
    donate more than the requested $20, please specify if you want more
    than one piece. If you have a request, please send the requested picture to orderbettysblessings@gmail.com before donating so
  we can make sure we are able to have her color it for legal purposes.
  No color requests please - we want Betty to use her complete creative
  freedom in her pieces. General theme requests are welcomed as well
  (flowers, cities, etc.) All proceeds go to the Alzheimer’s Association. All questions or inquiries: orderbettysblessings@gmail.com",https://fundrazr.com/51MX48
"6,138",Zach Branson's Medical Fundraiser,U.S. Dollar,,of $15k goal,44,"Zachary Branson was born with a liver disease known as biliary
  atresia. The main procedure that was performed is known as a Kasai
  portoenterostomy. This operation connects the bile drainage from the
  liver directly to the intestinal tract. Success of this procedure may
  be improved when it is done before an infant is 8 weeks old. The Kasai
  procedure is helpful because it permits bile to flow and can allow a
  child to grow and remain in fairly good health for many years. It is
  important to understand that this surgery is typically a treatment for
  and not cure of biliary atresia. Ongoing liver disease is likely to
  continue to occur even with a successful operation. Up to 80 percent
  of children who undergo the Kasai portoenterostomy will eventually
  need to have a liver transplant. Doctors warned that Zach would not
  live past the age of 2 years old. Now at 30 years old, Zach has
  surprised the medical community. He has gone through quite rough times
  in his life growing up with this disease. His mother passed away in
  2006 from liver and kidney failure due to alcoholism. Zach cannot work
  a ""normal"" job anymore due to complications that arise from
  this disease. He is currently in the process of fighting for
  disability. The application status is pending. We are asking to share
  this page with everyone you know. Encourage your loved ones and
  friends to become an organ and tissue donor. If you have been blessed
  enough in life to allow yourself to make a donation to this brave,
  strong young man it is greatly appreciated. All funds raised will be
  used for basic living and medical expenses for Zach in his time of
  need. All help is greatly appreciated. Thank you ALL. <3 The following is Zach's ""Facebook Group"" where he shares
  all kinds of information on natural health. The Files section is loaded with
  published, peer-reviewed journal articles. Liver and Biliary Atresia - Natural
    and Probiotic Treatments The following id the Biliary Atresia co-authored by Zach's kasai
  surgeon Dr. John R. Lilly. Dr. Lilly was one of a handful of doctors
  that were personally trained on the Kasai procedure by Dr. Mario Kasai himself. Biliary Atresia Registry 1976-1989",https://fundrazr.com/ZachBranson
